l [deg],b [deg],Total A_V [mag],Total A_G [mag],Distance to Peak,FWHM (V Band) [pc],Column Density [cm^-2],V Band Volume Density [cm^-3],G Band Volume Density [cm^-3],N(H) from A_G [cm^-2],G Band Volume Density Std,G Band Volume Density SDOM,V Band Volume Density STD
120.5,29.6,0.006264908812087,0.3744208126214389,359.3705293276109,-25.689696474943656,5.199874314032213e+19,-0.65596901859333,618.9176032632384,9.360520315535972e+20,31.68109514458396,9.145544404973847,-0.2835564127008701
146.93,20.75,0.227471084442254,0.1747873492060049,218.16881258941345,4.734674911297828,1.8880100008707083e+21,129.23007014664168,288.9234882375261,4.3696837301501225e+20,30.113872828128475,8.693126291831067,11.798645137582918
148.2,38.63,0.5675867475342642,0.4361300834751009,397.42489270386267,9.282807462671732,4.710970004534393e+21,164.46763638351445,720.9230279843418,1.0903252086877524e+21,60.67709302585092,17.515967996059494,-13.857923245329951
146.07,17.75,0.4956813152335398,0.3808784019870038,217.1673819742489,5.737226621310032,4.114154916438381e+21,232.3957013870712,629.5919984845174,9.521960049675097e+20,61.26714122341803,17.68630023890961,-22.47690824557362
143.0,38.5,0.6717277697223308,0.5161513892884857,402.43204577968527,5.495053057884955,5.575340488695346e+21,328.8129850072648,853.1982464938668,1.2903784732212142e+21,92.39391801245846,26.67182671798855,-33.023924319886206
142.21,23.25,0.2778165237643777,0.2134724678236184,218.16881258941345,4.727885600697054,2.305877147244335e+21,158.0587927442817,352.8699893124412,5.336811695590459e+20,34.000532128646306,9.815108188532232,14.689323660353184
150.12,40.67,0.0905647971156147,0.0695894199389393,381.4020028612303,19.67690739547304,7.516878160596021e+20,12.3802702195675,115.03131115906666,1.7397354984734825e+20,6.562529644500386,1.8944391284085984,0.6469512713199096
122.22,18.75,0.1632910179613599,0.125471790177629,336.3376251788269,12.215312592682404,1.355315449079287e+21,35.957149722646804,207.4048691636208,3.136794754440725e+20,13.914701089567782,4.016828209877569,2.294224635516329
137.16,43.0,0.1172130042013148,0.0,309.2989985693848,4.469286617870359,9.728679348709134e+20,70.54482122689454,0.0,0.0,0.0,0.0,7.13286138061842
148.21,23.5,0.174758209677738,0.1342831080990134,222.17453505007157,2.029625429503062,1.4504931403252257e+21,231.60569730337124,221.96997768766929,3.357077702475337e+20,26.243735280248828,7.57591381429647,20.883006135143955
119.07,28.0,0.469744286530992,0.3609485524225452,357.3676680972818,10.407417733660184,3.898877578207234e+21,121.40765395307396,596.6479571544672,9.023713810563628e+20,40.47984270727293,11.685524041898868,6.760820337925502
146.2,39.63,0.2896196807481428,0.2225419393413416,391.4163090128755,10.78884020724974,2.403843350209585e+21,72.20725856327857,367.8618257312377,5.563548483533539e+20,26.27054158451848,7.583652127789501,-4.260569328502115
119.21,20.0,0.3882115309697434,0.2982992963513651,349.3562231759656,6.8878545038279855,3.2221557070488703e+21,151.60447243717977,493.0887368688065,7.457482408784128e+20,44.94599536419631,12.974791261257206,13.99050654999646
156.64,32.5,0.1966044153347457,0.1510695949896888,399.4277539341917,6.889500345361887,1.63181664727839e+21,76.75966803936002,249.71804051795564,3.776739874742221e+20,26.325935989132404,7.5996431149972254,8.498343935490912
125.5,22.0,0.3138314084169815,0.2411460784533979,336.3376251788269,3.951976441600656,2.604800689860947e+21,213.6041105906159,398.6144676834667,6.028651961334948e+20,39.696618540998784,11.45942670028177,15.9473119397879
123.5,19.63,0.1817903466918768,0.1395512971065906,486.55221745350497,14.98337011390868,1.5088598775425778e+21,32.63539380419092,230.67829411719435,3.488782427664766e+20,14.56578448680391,4.2047797972071566,1.9143610324810392
127.5,20.88,0.3231850144762892,0.2483333304622951,500.57224606580826,14.81497137607315,2.682435620153201e+21,58.67835706453154,410.4949952541738,6.208333261557377e+20,23.934637053403296,6.909334572869192,3.204311581326064
120.5,18.63,0.3909318090756769,0.3003895409220323,341.3447782546495,7.529476096509864,3.244734015328118e+21,139.65735015089896,496.5439111441195,7.509738523050808e+20,41.246038792770086,11.90670580000578,13.095625834522597
151.5,19.25,0.3005669888541089,0.2309537819694931,210.1573676680973,4.992025060031542,2.4947060074891035e+21,161.95414616512446,381.7666015955722,5.773844549237329e+20,39.52456933854874,11.409760373607572,16.76546618202206
121.07,21.75,0.0347099801811857,0.4430827842997926,358.3690987124463,-6.630407324930602,2.8809283550384135e+20,-14.081266036667264,732.4158424475572,1.1077069607494816e+21,65.28852963764587,18.847175080644853,-5.894530745849173
156.54,35.13,0.3436030775190905,0.2640224415593072,391.4163090128755,13.471765794479117,2.851905543408452e+21,68.60567917768677,436.4290958975348,6.60056103898268e+20,32.13369511850233,9.276198763362345,5.076978653076771
121.93,19.75,0.2118862893535732,0.1628120907763525,341.3447782546495,10.086364567932478,1.758656201634658e+21,56.50615300611498,269.12838605331075,4.070302269408813e+20,17.909107551230328,5.169914032824395,3.0709918666052283
147.2,40.75,0.2104449227750845,0.1617045537717882,390.414878397711,5.237283093018963,1.7466928590332017e+21,108.08363691702142,267.29762738476586,4.042613844294705e+20,27.77004511782819,8.01652151209308,10.55018307904793
125.07,19.5,0.3109720209922473,0.2389489431579483,314.3061516452074,12.126590490986688,2.581067774235653e+21,68.97792906928261,394.9826030400885,5.973723578948707e+20,24.726127051066268,7.137818054474999,3.7362201359571303
147.0,40.38,0.2536486013938824,0.1949019884270261,389.4134477825465,4.783466925880644,2.1052833915692243e+21,142.63208922580046,322.17298686987414,4.872549710675652e+20,45.43401241233191,13.115669648312316,35.003644323282955
125.22,32.5,0.5733073319776897,0.4405257445466041,371.3876967095851,12.881717069734371,4.758450855414824e+21,119.71299244181564,728.1890557355366,1.1013143613665104e+21,53.03325208611506,15.309381183959909,7.669449355742657
