l (deg),b (deg),line,comp,T_peak (K),T_error (K),CenterVel (km/s),CenterVel_error (km/s),FWHM (km/s),FWHM error (km/s),integral,integral error,Cloud,Upper Limit
120500,2963,HI,1,4.7602182856896835,0.17341406189794673,-12.611564585245246,0.5670573991281028,15.075809215989178,0.4268353977582406,333.19552000000033,4.007808671488404,Polaris,F
120500,2963,HI,2,18.83609521744389,0.399418907803826,-3.128157450628495,0.16316253565659936,3.3126957531542565,0.12386972591294236,194.74560000000014,1.9160990339605635,Polaris,F
120500,2963,HI,3,7.079887322220304,0.9858408834869674,-7.097375499554859,0.08816169806531284,1.2617494962097544,0.15796314029816094,66.41920000000006,1.173366232460789,Polaris,F
120500,2963,67,1,0.014572893794078839,0.00161645369228498,-3.185756792235601,0.5515562824024423,3.041889981761453,0.4442509132654757,0.1453950410318107,0.007514470739995633,Polaris,F
120500,2963,67,2,0.030204302659524607,0.0038950344689679542,-6.3912530650455475,0.09019945180516267,0.627038831488282,0.10641893744086517,0.05777425046621671,0.0033605734779126773,Polaris,F
120500,2963,67,3,8.201819133477929e-05,0.0,4.995521775781313,0.0,0.0009813547950935364,0.0,0.05777425046621671,0.0,Polaris,F
120500,2963,65,1,-0.08326560552070353,0.005709332949622743,-8.05276897912016,0.05541678100878735,0.17614685443204628,0.019623047809970075,0.0,0.0,Polaris,F
120500,2963,65,2,0.0027848948109118784,0.399418907803826,-3.185756792235601,0.16316253565659936,3.041889981761453,0.12386972591294236,0.0004905504608662557,5.464812402026136e-05,Polaris,T
120500,2963,65,3,0.0027848948109118784,0.9858408834869674,-3.185756792235601,0.08816169806531284,3.041889981761453,0.15796314029816094,0.0004905504608662557,5.464812402026136e-05,Polaris,T
120500,2963,CO,1,1.4753307838681649,0.12810532298433996,-6.3075290976494385,0.057040591196740396,0.5634383473251071,0.056081036453496214,1.9617521225838412,0.14469001414635196,Polaris,F
120500,2963,CO,2,0.12847865059435076,0.399418907803826,-8.05276897912016,0.16316253565659936,0.17614685443204628,0.12386972591294236,0.07238979855744089,0.007205215887477788,Polaris,T
120500,2963,CO,3,0.12847865059435076,0.9858408834869674,-8.05276897912016,0.08816169806531284,0.17614685443204628,0.15796314029816094,0.07238979855744089,0.007205215887477788,Polaris,T
